2026-02-24 13:03:06,670 audio=4.18s | infer=2.69s | RTF=0.64 | lang=en(93%) | words=13 | model=base/cpu
2026-02-24 17:44:28,209 audio=4.16s | infer=2.93s | RTF=0.71 | lang=en(78%) | words=6 | model=base/cpu
2026-02-24 17:45:37,763 audio=1.77s | infer=2.84s | RTF=1.61 | lang=en(37%) | words=6 | model=base/cpu
2026-02-24 18:04:17,134 audio=2.24s | infer=2.61s | RTF=1.17 | lang=en(86%) | words=6 | model=base/cpu
2026-02-24 18:19:25,861 audio=4.37s | infer=2.31s | RTF=0.53 | lang=en(89%) | words=13 | model=base/cpu
2026-02-24 18:27:26,458 audio=5.10s | infer=2.26s | RTF=0.44 | lang=en(96%) | words=11 | model=base/cpu
2026-02-24 18:41:51,882 audio=3.01s | infer=2.16s | RTF=0.72 | lang=en(63%) | words=3 | model=base/cpu
2026-02-24 18:50:14,573 audio=2.64s | infer=2.18s | RTF=0.82 | lang=en(60%) | words=3 | model=base/cpu
2026-02-24 18:50:44,391 audio=2.32s | infer=2.29s | RTF=0.99 | lang=en(64%) | words=2 | model=base/cpu
2026-02-24 20:29:10,283 audio=3.22s | infer=2.34s | RTF=0.73 | lang=en(87%) | words=6 | model=base/cpu
2026-02-24 20:29:36,495 audio=1.36s | infer=6.80s | RTF=4.99 | lang=en(64%) | words=2 | model=base/cpu
2026-02-24 20:29:56,903 audio=1.70s | infer=2.22s | RTF=1.30 | lang=en(67%) | words=2 | model=base/cpu
2026-02-24 20:32:38,362 audio=2.22s | infer=2.30s | RTF=1.04 | lang=en(94%) | words=4 | model=base/cpu
2026-02-24 20:32:57,833 audio=1.60s | infer=2.24s | RTF=1.40 | lang=en(87%) | words=1 | model=base/cpu
2026-02-24 20:41:08,914 audio=1.49s | infer=2.33s | RTF=1.56 | lang=en(89%) | words=4 | model=base/cpu
2026-02-25 13:07:32,789 audio=2.24s | infer=5.87s | RTF=2.62 | lang=ru(28%) | words=1 | model=base/cpu
2026-02-25 13:08:04,296 audio=2.37s | infer=3.75s | RTF=1.59 | lang=en(69%) | words=2 | model=base/cpu
2026-02-25 13:08:22,471 audio=3.30s | infer=2.06s | RTF=0.62 | lang=en(67%) | words=3 | model=base/cpu
2026-02-25 13:09:28,626 audio=3.62s | infer=2.21s | RTF=0.61 | lang=en(69%) | words=2 | model=base/cpu
2026-02-25 13:10:01,421 audio=3.11s | infer=2.33s | RTF=0.75 | lang=en(79%) | words=2 | model=base/cpu
2026-03-06 19:28:54,869 audio=6.29s | infer=2.28s | RTF=0.36 | lang=en(99%) | words=22 | model=base/cpu
2026-03-10 12:30:22,139 audio=3.01s | infer=2.12s | RTF=0.71 | lang=en(75%) | words=6 | model=base/cpu
2026-03-10 12:31:21,739 audio=7.72s | infer=2.41s | RTF=0.31 | lang=en(98%) | words=27 | model=base/cpu
2026-03-10 12:33:12,335 audio=3.37s | infer=2.14s | RTF=0.63 | lang=en(71%) | words=5 | model=base/cpu
2026-03-10 12:40:33,248 audio=7.23s | infer=2.46s | RTF=0.34 | lang=en(99%) | words=21 | model=base/cpu
2026-03-10 12:41:10,645 audio=1.75s | infer=2.12s | RTF=1.21 | lang=en(91%) | words=4 | model=base/cpu
2026-03-10 13:28:41,408 audio=67.16s | infer=6.05s | RTF=0.09 | lang=en(99%) | words=80 | model=base/cpu
2026-03-12 20:09:20,547 audio=8.38s | infer=4.17s | RTF=0.50 | lang=en(92%) | words=5 | model=base/cpu
2026-03-12 20:09:42,623 audio=6.33s | infer=4.83s | RTF=0.76 | lang=en(95%) | words=13 | model=base/cpu
2026-03-13 18:22:59,897 audio=2.75s | infer=4.27s | RTF=1.55 | lang=en(40%) | words=4 | model=base/cpu
2026-03-13 18:23:34,169 audio=1.79s | infer=2.22s | RTF=1.24 | lang=en(45%) | words=2 | model=base/cpu
2026-03-13 18:24:09,447 audio=4.44s | infer=2.31s | RTF=0.52 | lang=en(78%) | words=15 | model=base/cpu
2026-03-13 19:25:53,093 audio=4.12s | infer=6.10s | RTF=1.48 | lang=en(96%) | words=10 | model=base/cpu
2026-03-13 19:26:50,044 audio=2.02s | infer=4.62s | RTF=2.28 | lang=en(92%) | words=7 | model=base/cpu
2026-03-17 15:39:59,131 audio=2.41s | infer=3.43s | RTF=1.42 | lang=en(94%) | words=5 | model=base/cpu
2026-03-17 15:53:45,235 audio=1.98s | infer=2.36s | RTF=1.19 | lang=en(95%) | words=3 | model=base/cpu
2026-03-17 15:55:34,811 audio=2.52s | infer=2.61s | RTF=1.04 | lang=en(92%) | words=7 | model=base/cpu
2026-03-17 16:01:03,252 audio=2.69s | infer=2.17s | RTF=0.81 | lang=en(89%) | words=10 | model=base/cpu
2026-03-17 16:08:28,209 audio=2.13s | infer=2.18s | RTF=1.02 | lang=en(72%) | words=2 | model=base/cpu
2026-03-17 16:11:04,312 audio=1.47s | infer=3.30s | RTF=2.25 | lang=en(61%) | words=1 | model=base/cpu
2026-03-17 16:35:24,986 audio=1.94s | infer=2.13s | RTF=1.10 | lang=en(85%) | words=1 | model=base/cpu
2026-03-17 16:45:58,535 audio=1.43s | infer=2.20s | RTF=1.54 | lang=en(78%) | words=1 | model=base/cpu
